position_id,magic,symbol,side,volume,price_open,price_close,sl,tp,profit,commission,time_open,time_close,duration_sec,rr,trader,target_index,target_total
118618025,3482965358,XAUUSDb,buy,0.04,3307.4800000000005,3298.0000000000005,3298.0,3335.0,-18.96,-0.1,2025-05-28 15:12:16+00:00,2025-05-28 16:43:21+00:00,5465.0,2.9,Empire,3.0,3.0
118641717,2130395027,XAUUSDb,buy,0.08,3310.87,3314.73,3300.0,3314.0,15.44,-0.2,2025-05-28 15:56:01+00:00,2025-05-28 16:02:01+00:00,360.0,0.29,Nemat,1.0,4.0
118641719,2130664590,XAUUSDb,buy,0.06,3310.87,3299.61,3300.0,3320.0,-33.78,-0.15,2025-05-28 15:56:01+00:00,2025-05-28 16:40:45+00:00,2684.0,0.84,Nemat,2.0,4.0
118641720,2130942230,XAUUSDb,buy,0.02,3310.87,3299.6099999999997,3300.0,3325.0,-11.26,-0.05,2025-05-28 15:56:01+00:00,2025-05-28 16:40:45+00:00,2684.0,1.3,Nemat,3.0,4.0
118641721,2131216612,XAUUSDb,buy,0.04,3310.87,3299.6099999999997,3300.0,3330.0,-22.52,-0.1,2025-05-28 15:56:01+00:00,2025-05-28 16:40:45+00:00,2684.0,1.76,Nemat,4.0,4.0
118680035,2096311544,XAUUSDb,sell,0.14,3302.91,3298.69,3310.0,3299.0,29.54,-0.35,2025-05-28 17:00:31+00:00,2025-05-28 18:02:57+00:00,3746.0,0.55,Lily,1.0,3.0
118680037,2096586176,XAUUSDb,sell,0.08,3302.91,3295.96,3310.0,3296.0,27.8,-0.2,2025-05-28 17:00:31+00:00,2025-05-28 18:03:50+00:00,3799.0,0.97,Lily,2.0,3.0
118680039,2096850424,XAUUSDb,sell,0.06,3302.9100000000003,3291.87,3310.0,3292.0,33.12,-0.15,2025-05-28 17:00:31+00:00,2025-05-28 19:37:48+00:00,9437.0,1.54,Lily,3.0,3.0
118684934,2757524968,XAUUSDb,buy,0.12,3300.97,3292.85,3293.0,3308.0,-48.72,-0.3,2025-05-28 17:50:25+00:00,2025-05-28 18:30:29+00:00,2404.0,0.88,Empire,1.0,2.0
118684936,2757798206,XAUUSDb,buy,0.12,3300.97,3292.85,3293.0,3316.0,-48.72,-0.3,2025-05-28 17:50:25+00:00,2025-05-28 18:30:29+00:00,2404.0,1.89,Empire,2.0,2.0
118696615,622679121,XAUUSDb,buy,0.14,3303.0,3295.89,3296.0,3310.0,-49.77,-0.35,2025-05-28 17:39:16+00:00,2025-05-28 18:03:50+00:00,1474.0,1.0,Empire,1.0,2.0
118696620,622954501,XAUUSDb,buy,0.14,3303.0,3295.89,3296.0,3320.0,-49.77,-0.35,2025-05-28 17:39:16+00:00,2025-05-28 18:03:50+00:00,1474.0,2.43,Empire,2.0,2.0
118853519,3920359577,XAUUSDb,buy,0.14,3261.94,3264.0,3255.0,3264.0,14.42,-0.35,2025-05-29 05:26:34+00:00,2025-05-29 05:28:14+00:00,100.0,0.3,Nemat,1.0,3.0
118853520,3920621782,XAUUSDb,buy,0.08,3261.9399999999996,3266.0400000000004,3255.0,3266.0,16.4,-0.2,2025-05-29 05:26:34+00:00,2025-05-29 05:30:10+00:00,216.0,0.59,Nemat,2.0,3.0
118853521,3920887971,XAUUSDb,buy,0.06,3261.94,3270.0,3255.0,3270.0,24.18,-0.15,2025-05-29 05:26:34+00:00,2025-05-29 05:44:41+00:00,1087.0,1.16,Nemat,3.0,3.0
118872231,4084718375,XAUUSDb,sell,0.12,3272.98,3268.96,3281.0,3269.0,24.12,-0.3,2025-05-29 07:44:36+00:00,2025-05-29 08:01:30+00:00,1014.0,0.5,Lily,1.0,3.0
118872237,4091042691,XAUUSDb,sell,0.12,3272.98,3268.96,3281.0,3269.0,24.12,-0.3,2025-05-29 07:44:36+00:00,2025-05-29 08:01:30+00:00,1014.0,0.5,Lily,1.0,3.0
118872238,4091314309,XAUUSDb,sell,0.08,3272.9799999999996,3281.0,3281.0,3265.0,-32.08,-0.2,2025-05-29 07:44:36+00:00,2025-05-29 10:15:32+00:00,9056.0,1.0,Lily,2.0,3.0
118872239,4091587899,XAUUSDb,sell,0.04,3272.9799999999996,3281.0,3281.0,3260.0,-16.04,-0.1,2025-05-29 07:44:36+00:00,2025-05-29 10:15:32+00:00,9056.0,1.62,Lily,3.0,3.0
118904899,415954557,XAUUSDb,sell,0.1,3279.9800000000005,3289.16,3289.0,3276.0,-45.9,-0.25,2025-05-29 10:18:21+00:00,2025-05-29 11:01:08+00:00,2567.0,0.44,Lily,1.0,3.0
118904901,416221871,XAUUSDb,sell,0.06,3279.98,3289.16,3289.0,3272.0,-27.54,-0.15,2025-05-29 10:18:21+00:00,2025-05-29 11:01:08+00:00,2567.0,0.88,Lily,2.0,3.0
118904903,416491146,XAUUSDb,sell,0.04,3279.9700000000003,3289.1599999999994,3289.0,3268.0,-18.38,-0.1,2025-05-29 10:18:21+00:00,2025-05-29 11:01:08+00:00,2567.0,1.33,Lily,3.0,3.0
118946631,1087415962,XAUUSDb,buy,0.18,3278.4900000000002,3280.04,3274.0,3280.0,13.95,-0.45,2025-05-30 16:55:56+00:00,2025-05-30 16:56:27+00:00,31.0,0.34,Empire,1.0,2.0
118946632,1087685826,XAUUSDb,buy,0.18,3278.4900000000002,3273.93,3274.0,3295.0,-41.04,-0.45,2025-05-30 16:55:56+00:00,2025-05-30 17:00:26+00:00,270.0,3.68,Empire,2.0,2.0
119013349,2463603205,XAUUSDb,buy,0.04,3280.8100000000004,3348.7000000000003,3236.17,3348.67,135.78,-0.1,2025-05-30 16:53:25+00:00,2025-06-02 10:06:37+00:00,234792.0,1.52,Eli,1.0,1.0
119238183,4101149643,XAUUSDb,sell,0.12,3294.08,3302.31,3302.0,3288.0,-49.38,-0.3,2025-05-30 07:41:17+00:00,2025-05-30 08:51:19+00:00,4202.0,0.77,Lily,1.0,3.0
119238184,4101417025,XAUUSDb,sell,0.08,3294.0800000000004,3302.31,3302.0,3284.0,-32.92,-0.2,2025-05-30 07:41:17+00:00,2025-05-30 08:51:19+00:00,4202.0,1.27,Lily,2.0,3.0
119238185,4101695598,XAUUSDb,sell,0.04,3294.0800000000004,3302.31,3302.0,3280.0,-16.46,-0.1,2025-05-30 07:41:17+00:00,2025-05-30 08:51:19+00:00,4202.0,1.78,Lily,3.0,3.0
119288397,2121888457,XAUUSDb,sell,0.04,3295.0,3292.78,3310.0,3293.0,4.44,-0.1,2025-05-30 10:42:30+00:00,2025-05-30 11:12:17+00:00,1787.0,0.13,Nemat,1.0,5.0
119288400,2122176710,XAUUSDb,sell,0.04,3295.0,3289.98,3310.0,3290.0,10.04,-0.1,2025-05-30 10:42:30+00:00,2025-05-30 14:51:11+00:00,14921.0,0.33,Nemat,2.0,5.0
119288403,2122451501,XAUUSDb,sell,0.02,3295.0,3284.92,3310.0,3285.0,10.08,-0.05,2025-05-30 10:42:30+00:00,2025-05-30 15:10:06+00:00,16056.0,0.67,Nemat,3.0,5.0
119288409,2122720680,XAUUSDb,sell,0.02,3295.0,3279.9700000000003,3310.0,3280.0,15.03,-0.05,2025-05-30 10:42:30+00:00,2025-05-30 16:53:27+00:00,22257.0,1.0,Nemat,4.0,5.0
119288412,2122997429,XAUUSDb,sell,0.02,3295.0,3310.16,3310.0,3270.0,-15.16,-0.05,2025-05-30 10:42:30+00:00,2025-06-02 01:52:11+00:00,227381.0,1.67,Nemat,5.0,5.0
